css_var,mode,layer,source_file,derivation,depends_on,alpha_only
--bs-backdrop-bg,any,bootstrap-core,src/scss/bootstrap/_modal.scss,alias: modal-backdrop-bg,modal-backdrop-bg,False
--bs-modal-box-shadow,any,bootstrap-core,src/scss/bootstrap/_modal.scss,alias: modal-content-box-shadow-sm-up,modal-content-box-shadow-sm-up,False
--bs-nav-link-padding-x,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-link-padding-x,nav-link-padding-x,False
--bs-nav-link-padding-y,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-link-padding-y,nav-link-padding-y,False
--bs-nav-link-font-weight,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-link-font-weight,nav-link-font-weight,False
--bs-nav-link-color,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-link-color,nav-link-color,False
--bs-nav-link-hover-color,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-link-hover-color,nav-link-hover-color,False
--bs-nav-link-disabled-color,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-link-disabled-color,nav-link-disabled-color,False
--bs-nav-tabs-border-color,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-tabs-border-color,nav-tabs-border-color,False
--bs-nav-tabs-link-hover-border-color,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-tabs-link-hover-border-color,nav-tabs-link-hover-border-color,False
--bs-nav-tabs-link-active-color,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-tabs-link-active-color,nav-tabs-link-active-color,False
--bs-nav-tabs-link-active-bg,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-tabs-link-active-bg,nav-tabs-link-active-bg,False
--bs-nav-tabs-link-active-border-color,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-tabs-link-active-border-color,nav-tabs-link-active-border-color,False
--bs-nav-pills-link-active-color,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-pills-link-active-color,nav-pills-link-active-color,False
--bs-nav-pills-link-active-bg,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-pills-link-active-bg,nav-pills-link-active-bg,False
--bs-nav-underline-link-active-color,any,bootstrap-core,src/scss/bootstrap/_nav.scss,alias: nav-underline-link-active-color,nav-underline-link-active-color,False
--bs-navbar-color,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-light-color,navbar-light-color,False
--bs-navbar-hover-color,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-light-hover-color,navbar-light-hover-color,False
--bs-navbar-disabled-color,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-light-disabled-color,navbar-light-disabled-color,False
--bs-navbar-active-color,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-light-active-color,navbar-light-active-color,False
--bs-navbar-brand-color,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-light-brand-color,navbar-light-brand-color,False
--bs-navbar-brand-hover-color,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-light-brand-hover-color,navbar-light-brand-hover-color,False
--bs-navbar-nav-link-padding-x,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-nav-link-padding-x,navbar-nav-link-padding-x,False
--bs-navbar-toggler-icon-bg,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,escape-svg($navbar-light-toggler-icon-bg),navbar-light-toggler-icon-bg,False
--bs-navbar-toggler-border-color,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-light-toggler-border-color,navbar-light-toggler-border-color,False
--bs-nav-link-padding-x,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,0,,False
--bs-nav-link-padding-y,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: nav-link-padding-y,nav-link-padding-y,False
--bs-nav-link-font-weight,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: nav-link-font-weight,nav-link-font-weight,False
--bs-nav-link-color,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-color,navbar-color,False
--bs-nav-link-hover-color,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-hover-color,navbar-hover-color,False
--bs-nav-link-disabled-color,any,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-disabled-color,navbar-disabled-color,False
--bs-navbar-color,dark,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-dark-color,navbar-dark-color,False
--bs-navbar-hover-color,dark,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-dark-hover-color,navbar-dark-hover-color,False
--bs-navbar-disabled-color,dark,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-dark-disabled-color,navbar-dark-disabled-color,False
--bs-navbar-active-color,dark,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-dark-active-color,navbar-dark-active-color,False
--bs-navbar-brand-color,dark,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-dark-brand-color,navbar-dark-brand-color,False
--bs-navbar-brand-hover-color,dark,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-dark-brand-hover-color,navbar-dark-brand-hover-color,False
--bs-navbar-toggler-border-color,dark,bootstrap-core,src/scss/bootstrap/_navbar.scss,alias: navbar-dark-toggler-border-color,navbar-dark-toggler-border-color,False
--bs-navbar-toggler-icon-bg,dark,bootstrap-core,src/scss/bootstrap/_navbar.scss,escape-svg($navbar-dark-toggler-icon-bg),navbar-dark-toggler-icon-bg,False
--bs-navbar-toggler-icon-bg,dark,bootstrap-core,src/scss/bootstrap/_navbar.scss,escape-svg($navbar-dark-toggler-icon-bg),navbar-dark-toggler-icon-bg,False
--bs-offcanvas-color,any,bootstrap-core,src/scss/bootstrap/_offcanvas.scss,alias: offcanvas-color,offcanvas-color,False
--bs-offcanvas-bg,any,bootstrap-core,src/scss/bootstrap/_offcanvas.scss,alias: offcanvas-bg-color,offcanvas-bg-color,False
--bs-offcanvas-border-color,any,bootstrap-core,src/scss/bootstrap/_offcanvas.scss,alias: offcanvas-border-color,offcanvas-border-color,False
--bs-offcanvas-box-shadow,any,bootstrap-core,src/scss/bootstrap/_offcanvas.scss,alias: offcanvas-box-shadow,offcanvas-box-shadow,False
--bs-pagination-color,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-color,pagination-color,False
--bs-pagination-bg,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-bg,pagination-bg,False
--bs-pagination-border-color,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-border-color,pagination-border-color,False
--bs-pagination-hover-color,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-hover-color,pagination-hover-color,False
--bs-pagination-hover-bg,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-hover-bg,pagination-hover-bg,False
--bs-pagination-hover-border-color,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-hover-border-color,pagination-hover-border-color,False
--bs-pagination-focus-color,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-focus-color,pagination-focus-color,False
--bs-pagination-focus-bg,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-focus-bg,pagination-focus-bg,False
--bs-pagination-focus-box-shadow,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-focus-box-shadow,pagination-focus-box-shadow,False
--bs-pagination-active-color,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-active-color,pagination-active-color,False
--bs-pagination-active-bg,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-active-bg,pagination-active-bg,False
--bs-pagination-active-border-color,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-active-border-color,pagination-active-border-color,False
--bs-pagination-disabled-color,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-disabled-color,pagination-disabled-color,False
--bs-pagination-disabled-bg,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-disabled-bg,pagination-disabled-bg,False
--bs-pagination-disabled-border-color,any,bootstrap-core,src/scss/bootstrap/_pagination.scss,alias: pagination-disabled-border-color,pagination-disabled-border-color,False
--bs-popover-bg,any,bootstrap-core,src/scss/bootstrap/_popover.scss,alias: popover-bg,popover-bg,False
--bs-popover-border-color,any,bootstrap-core,src/scss/bootstrap/_popover.scss,alias: popover-border-color,popover-border-color,False
--bs-popover-box-shadow,any,bootstrap-core,src/scss/bootstrap/_popover.scss,alias: popover-box-shadow,popover-box-shadow,False
--bs-popover-header-color,any,bootstrap-core,src/scss/bootstrap/_popover.scss,alias: popover-header-color,popover-header-color,False
--bs-popover-header-bg,any,bootstrap-core,src/scss/bootstrap/_popover.scss,alias: popover-header-bg,popover-header-bg,False
--bs-popover-body-padding-x,any,bootstrap-core,src/scss/bootstrap/_popover.scss,alias: popover-body-padding-x,popover-body-padding-x,False
--bs-popover-body-padding-y,any,bootstrap-core,src/scss/bootstrap/_popover.scss,alias: popover-body-padding-y,popover-body-padding-y,False
--bs-popover-body-color,any,bootstrap-core,src/scss/bootstrap/_popover.scss,alias: popover-body-color,popover-body-color,False
--bs-progress-bg,any,bootstrap-core,src/scss/bootstrap/_progress.scss,alias: progress-bg,progress-bg,False
--bs-progress-box-shadow,any,bootstrap-core,src/scss/bootstrap/_progress.scss,alias: progress-box-shadow,progress-box-shadow,False
--bs-progress-bar-color,any,bootstrap-core,src/scss/bootstrap/_progress.scss,alias: progress-bar-color,progress-bar-color,False
--bs-progress-bar-bg,any,bootstrap-core,src/scss/bootstrap/_progress.scss,alias: progress-bar-bg,progress-bar-bg,False
--bs-link-color-rgb,any,bootstrap-core,src/scss/bootstrap/_reboot.scss,alias: link-hover-color-rgb,link-hover-color-rgb,False
--bs-white-rgb,light,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($white),white,False
--bs-black-rgb,light,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($black),black,False
--bs-gradient,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: gradient,gradient,False
--bs-body-font-family,light,bootstrap-core,src/scss/bootstrap/_root.scss,inspect($font-family-base),font-family-base,False
--bs-body-font-weight,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: font-weight-base,font-weight-base,False
--bs-body-line-height,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: line-height-base,line-height-base,False
--bs-body-text-align,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-text-align,body-text-align,False
--bs-body-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-color,body-color,False
--bs-body-color-rgb,light,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-color),body-color,False
--bs-body-bg,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-bg,body-bg,False
--bs-body-bg-rgb,light,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-bg),body-bg,False
--bs-emphasis-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-emphasis-color,body-emphasis-color,False
--bs-emphasis-color-rgb,light,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-emphasis-color),body-emphasis-color,False
--bs-secondary-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-secondary-color,body-secondary-color,False
--bs-secondary-color-rgb,light,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-secondary-color),body-secondary-color,False
--bs-secondary-bg,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-secondary-bg,body-secondary-bg,False
--bs-secondary-bg-rgb,light,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-secondary-bg),body-secondary-bg,False
--bs-tertiary-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-tertiary-color,body-tertiary-color,False
--bs-tertiary-color-rgb,light,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-tertiary-color),body-tertiary-color,False
--bs-tertiary-bg,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-tertiary-bg,body-tertiary-bg,False
--bs-tertiary-bg-rgb,light,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-tertiary-bg),body-tertiary-bg,False
--bs-heading-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: headings-color,headings-color,False
--bs-link-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: link-color,link-color,False
--bs-link-color-rgb,light,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($link-color),link-color,False
--bs-link-decoration,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: link-decoration,link-decoration,False
--bs-link-hover-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: link-hover-color,link-hover-color,False
--bs-link-hover-color-rgb,light,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($link-hover-color),link-hover-color,False
--bs-link-hover-decoration,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: link-hover-decoration,link-hover-decoration,False
--bs-code-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: code-color,code-color,False
--bs-highlight-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: mark-color,mark-color,False
--bs-highlight-bg,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: mark-bg,mark-bg,False
--bs-border-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: border-color,border-color,False
--bs-border-color-translucent,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: border-color-translucent,border-color-translucent,False
--bs-box-shadow,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: box-shadow,box-shadow,False
--bs-box-shadow-sm,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: box-shadow-sm,box-shadow-sm,False
--bs-box-shadow-lg,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: box-shadow-lg,box-shadow-lg,False
--bs-box-shadow-inset,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: box-shadow-inset,box-shadow-inset,False
--bs-focus-ring-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: focus-ring-color,focus-ring-color,False
--bs-form-valid-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: form-valid-color,form-valid-color,False
--bs-form-valid-border-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: form-valid-border-color,form-valid-border-color,False
--bs-form-invalid-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: form-invalid-color,form-invalid-color,False
--bs-form-invalid-border-color,light,bootstrap-core,src/scss/bootstrap/_root.scss,alias: form-invalid-border-color,form-invalid-border-color,False
--bs-body-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-color-dark,body-color-dark,False
--bs-body-color-rgb,dark,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-color-dark),body-color-dark,False
--bs-body-bg,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-bg-dark,body-bg-dark,False
--bs-body-bg-rgb,dark,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-bg-dark),body-bg-dark,False
--bs-emphasis-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-emphasis-color-dark,body-emphasis-color-dark,False
--bs-emphasis-color-rgb,dark,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-emphasis-color-dark),body-emphasis-color-dark,False
--bs-secondary-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-secondary-color-dark,body-secondary-color-dark,False
--bs-secondary-color-rgb,dark,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-secondary-color-dark),body-secondary-color-dark,False
--bs-secondary-bg,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-secondary-bg-dark,body-secondary-bg-dark,False
--bs-secondary-bg-rgb,dark,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-secondary-bg-dark),body-secondary-bg-dark,False
--bs-tertiary-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-tertiary-color-dark,body-tertiary-color-dark,False
--bs-tertiary-color-rgb,dark,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-tertiary-color-dark),body-tertiary-color-dark,False
--bs-tertiary-bg,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: body-tertiary-bg-dark,body-tertiary-bg-dark,False
--bs-tertiary-bg-rgb,dark,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($body-tertiary-bg-dark),body-tertiary-bg-dark,False
--bs-heading-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: headings-color-dark,headings-color-dark,False
--bs-link-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: link-color-dark,link-color-dark,False
--bs-link-hover-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: link-hover-color-dark,link-hover-color-dark,False
--bs-link-color-rgb,dark,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($link-color-dark),link-color-dark,False
--bs-link-hover-color-rgb,dark,bootstrap-core,src/scss/bootstrap/_root.scss,to-rgb($link-hover-color-dark),link-hover-color-dark,False
--bs-code-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: code-color-dark,code-color-dark,False
--bs-highlight-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: mark-color-dark,mark-color-dark,False
--bs-highlight-bg,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: mark-bg-dark,mark-bg-dark,False
--bs-border-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: border-color-dark,border-color-dark,False
--bs-border-color-translucent,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: border-color-translucent-dark,border-color-translucent-dark,False
--bs-form-valid-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: form-valid-color-dark,form-valid-color-dark,False
--bs-form-valid-border-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: form-valid-border-color-dark,form-valid-border-color-dark,False
--bs-form-invalid-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: form-invalid-color-dark,form-invalid-color-dark,False
--bs-form-invalid-border-color,dark,bootstrap-core,src/scss/bootstrap/_root.scss,alias: form-invalid-border-color-dark,form-invalid-border-color-dark,False
--bs-table-color-type,any,bootstrap-core,src/scss/bootstrap/_tables.scss,initial,,False
--bs-table-bg-type,any,bootstrap-core,src/scss/bootstrap/_tables.scss,initial,,False
--bs-table-color-state,any,bootstrap-core,src/scss/bootstrap/_tables.scss,initial,,False
--bs-table-bg-state,any,bootstrap-core,src/scss/bootstrap/_tables.scss,initial,,False
--bs-table-color,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-color,table-color,False
--bs-table-bg,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-bg,table-bg,False
--bs-table-border-color,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-border-color,table-border-color,False
--bs-table-accent-bg,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-accent-bg,table-accent-bg,False
--bs-table-striped-color,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-striped-color,table-striped-color,False
--bs-table-striped-bg,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-striped-bg,table-striped-bg,False
--bs-table-active-color,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-active-color,table-active-color,False
--bs-table-active-bg,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-active-bg,table-active-bg,False
--bs-table-hover-color,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-hover-color,table-hover-color,False
--bs-table-hover-bg,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-hover-bg,table-hover-bg,False
--bs-table-color-type,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-striped-color,table-striped-color,False
--bs-table-bg-type,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-striped-bg,table-striped-bg,False
--bs-table-color-type,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-striped-color,table-striped-color,False
--bs-table-bg-type,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-striped-bg,table-striped-bg,False
--bs-table-color-state,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-active-color,table-active-color,False
--bs-table-bg-state,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-active-bg,table-active-bg,False
--bs-table-color-state,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-hover-color,table-hover-color,False
--bs-table-bg-state,any,bootstrap-core,src/scss/bootstrap/_tables.scss,alias: table-hover-bg,table-hover-bg,False
--bs-toast-color,any,bootstrap-core,src/scss/bootstrap/_toasts.scss,alias: toast-color,toast-color,False
--bs-toast-bg,any,bootstrap-core,src/scss/bootstrap/_toasts.scss,alias: toast-background-color,toast-background-color,False
--bs-toast-border-color,any,bootstrap-core,src/scss/bootstrap/_toasts.scss,alias: toast-border-color,toast-border-color,False
--bs-toast-box-shadow,any,bootstrap-core,src/scss/bootstrap/_toasts.scss,alias: toast-box-shadow,toast-box-shadow,False
--bs-toast-header-color,any,bootstrap-core,src/scss/bootstrap/_toasts.scss,alias: toast-header-color,toast-header-color,False
--bs-toast-header-bg,any,bootstrap-core,src/scss/bootstrap/_toasts.scss,alias: toast-header-background-color,toast-header-background-color,False
--bs-toast-header-border-color,any,bootstrap-core,src/scss/bootstrap/_toasts.scss,alias: toast-header-border-color,toast-header-border-color,False
--bs-tooltip-color,any,bootstrap-core,src/scss/bootstrap/_tooltip.scss,alias: tooltip-color,tooltip-color,False
--bs-tooltip-bg,any,bootstrap-core,src/scss/bootstrap/_tooltip.scss,alias: tooltip-bg,tooltip-bg,False
--bs-form-check-bg,any,bootstrap-core,src/scss/bootstrap/forms/_form-check.scss,alias: form-check-input-bg,form-check-input-bg,False
--bs-form-check-bg-image,any,bootstrap-core,src/scss/bootstrap/forms/_form-check.scss,"escape-svg($form-check-input-checked-bg-image), var(--bs-gradient)",form-check-input-checked-bg-image|gradient,False
--bs-form-check-bg-image,any,bootstrap-core,src/scss/bootstrap/forms/_form-check.scss,escape-svg($form-check-input-checked-bg-image),form-check-input-checked-bg-image,False
--bs-form-check-bg-image,any,bootstrap-core,src/scss/bootstrap/forms/_form-check.scss,"escape-svg($form-check-radio-checked-bg-image), var(--bs-gradient)",form-check-radio-checked-bg-image|gradient,False
--bs-form-check-bg-image,any,bootstrap-core,src/scss/bootstrap/forms/_form-check.scss,escape-svg($form-check-radio-checked-bg-image),form-check-radio-checked-bg-image,False
--bs-form-check-bg-image,any,bootstrap-core,src/scss/bootstrap/forms/_form-check.scss,"escape-svg($form-check-input-indeterminate-bg-image), var(--bs-gradient)",form-check-input-indeterminate-bg-image|gradient,False
--bs-form-check-bg-image,any,bootstrap-core,src/scss/bootstrap/forms/_form-check.scss,escape-svg($form-check-input-indeterminate-bg-image),form-check-input-indeterminate-bg-image,False
--bs-form-switch-bg,any,bootstrap-core,src/scss/bootstrap/forms/_form-check.scss,escape-svg($form-switch-bg-image),form-switch-bg-image,False
--bs-form-switch-bg,any,bootstrap-core,src/scss/bootstrap/forms/_form-check.scss,escape-svg($form-switch-focus-bg-image),form-switch-focus-bg-image,False
--bs-form-switch-bg,any,bootstrap-core,src/scss/bootstrap/forms/_form-check.scss,"escape-svg($form-switch-checked-bg-image), var(--bs-gradient)",form-switch-checked-bg-image|gradient,False
--bs-form-switch-bg,any,bootstrap-core,src/scss/bootstrap/forms/_form-check.scss,escape-svg($form-switch-checked-bg-image),form-switch-checked-bg-image,False
--bs-form-switch-bg,dark,bootstrap-core,src/scss/bootstrap/forms/_form-check.scss,escape-svg($form-switch-bg-image-dark),form-switch-bg-image-dark,False
--bs-form-select-bg-img,any,bootstrap-core,src/scss/bootstrap/forms/_form-select.scss,escape-svg($form-select-indicator),form-select-indicator,False
--bs-form-select-bg-img,dark,bootstrap-core,src/scss/bootstrap/forms/_form-select.scss,escape-svg($form-select-indicator-dark),form-select-indicator-dark,False
--bs-alert-color,any,bootstrap-core,src/scss/bootstrap/mixins/_alert.scss,alias: color,color,False
--bs-alert-bg,any,bootstrap-core,src/scss/bootstrap/mixins/_alert.scss,alias: background,background,False
--bs-alert-border-color,any,bootstrap-core,src/scss/bootstrap/mixins/_alert.scss,alias: border,border,False
--bs-alert-link-color,any,bootstrap-core,src/scss/bootstrap/mixins/_alert.scss,"shade($color, 20%)",color,False
--bs-btn-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: color,color,False
--bs-btn-bg,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: background,background,False
--bs-btn-border-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: border,border,False
--bs-btn-hover-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: hover-color,hover-color,False
--bs-btn-hover-bg,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: hover-background,hover-background,False
--bs-btn-hover-border-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: hover-border,hover-border,False
--bs-btn-focus-shadow-rgb,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,"to-rgb(mix($color, $border, 15%))",border|color,False
--bs-btn-active-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: active-color,active-color,False
--bs-btn-active-bg,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: active-background,active-background,False
--bs-btn-active-border-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: active-border,active-border,False
--bs-btn-active-shadow,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: btn-active-box-shadow,btn-active-box-shadow,False
--bs-btn-disabled-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: disabled-color,disabled-color,False
--bs-btn-disabled-bg,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: disabled-background,disabled-background,False
--bs-btn-disabled-border-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: disabled-border,disabled-border,False
--bs-btn-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: color,color,False
--bs-btn-border-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: color,color,False
--bs-btn-hover-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: color-hover,color-hover,False
--bs-btn-hover-bg,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: active-background,active-background,False
--bs-btn-hover-border-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: active-border,active-border,False
--bs-btn-focus-shadow-rgb,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,to-rgb($color),color,False
--bs-btn-active-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: active-color,active-color,False
--bs-btn-active-bg,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: active-background,active-background,False
--bs-btn-active-border-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: active-border,active-border,False
--bs-btn-active-shadow,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: btn-active-box-shadow,btn-active-box-shadow,False
--bs-btn-disabled-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: color,color,False
--bs-btn-disabled-bg,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,transparent,,False
--bs-btn-disabled-border-color,any,bootstrap-core,src/scss/bootstrap/mixins/_buttons.scss,alias: color,color,False
